"","Date","Crude_Oil_Price"
"1",2016-01-01,0.178556213072816
"2",2016-02-01,0.184465126793838
"3",2016-03-01,0.220378982639258
"4",2016-04-01,0.22989882196135
"5",2016-05-01,0.25603550207049
"6",2016-06-01,0.271787839754516
"7",2016-07-01,0.254388300039659
"8",2016-08-01,0.258324153959235
"9",2016-09-01,0.261940134462002
"10",2016-10-01,0.278317117182735
"11",2016-11-01,0.255527421301393
"12",2016-12-01,0.316072789803676
"13",2017-01-01,0.327673952619512
"14",2017-02-01,0.321173348617602
"15",2017-03-01,0.307276232571459
"16",2017-04-01,0.305041476963385
"17",2017-05-01,0.289576883563072
"18",2017-06-01,0.260293692660782
"19",2017-07-01,0.269036769671916
"20",2017-08-01,0.275130626385125
"21",2017-09-01,0.29610920113742
"22",2017-10-01,0.307906572617774
"23",2017-11-01,0.339065120139584
"24",2017-12-01,0.340792179027543
"25",2018-01-01,0.360551509092081
"26",2018-02-01,0.330186657219763
"27",2018-03-01,0.338563927282067
"28",2018-04-01,0.366417691064446
"29",2018-05-01,0.403038272404392
"30",2018-06-01,0.402010218585931
"31",2018-07-01,0.401008337175785
"32",2018-08-01,0.39106920611463
"33",2018-09-01,0.42519608141154
"34",2018-10-01,0.441586708366507
"35",2018-11-01,0.357957952379673
"36",2018-12-01,0.318019160097216
"37",2019-01-01,0.327811548915086
"38",2019-02-01,0.351297214436794
"39",2019-03-01,0.365635210396005
"40",2019-04-01,0.398291539364677
"41",2019-05-01,0.400626009738429
"42",2019-06-01,0.361805923158621
"43",2019-07-01,0.35357375618584
"44",2019-08-01,0.333752771286476
"45",2019-09-01,0.357507161011775
"46",2019-10-01,0.342996254630016
"47",2019-11-01,0.357183702677058
"48",2019-12-01,0.38457578565502
"49",2020-01-01,0.358175158062725
"50",2020-02-01,0.31710893278658
"51",2020-03-01,0.182836031892636
"52",2020-04-01,0.106437475164107
"53",2020-05-01,0.169900810715432
"54",2020-06-01,0.228447351082904
"55",2020-07-01,0.241411172245531
"56",2020-08-01,0.2392433280041
"57",2020-09-01,0.216443963763545
"58",2020-10-01,0.215110118289691
"59",2020-11-01,0.229545821895026
"60",2020-12-01,0.263495236107334
"61",2021-01-01,0.280161370289365
"62",2021-02-01,0.324915069767529
"63",2021-03-01,0.341204671055954
"64",2021-04-01,0.346736927841269
"65",2021-05-01,0.357907301956567
"66",2021-06-01,0.377517423543691
"67",2021-07-01,0.397176637876776
"68",2021-08-01,0.37472298305553
"69",2021-09-01,0.396629274147662
"70",2021-10-01,0.453392017044153
"71",2021-11-01,0.442870992220053
"72",2021-12-01,0.412206835464171
"73",2022-01-01,0.43918196965664
