location,country,year,week,latitude,longitude,fruits,vegetables,temp,humidity,precip,windspeed,cloudcover,n_temp,n_humidity,n_precip,n_windspeed,n_cloudcover,dev_temp,dev_humidity,dev_precip,dev_windspeed,dev_cloudcover,frost,lag_2_weeks_temp,lag_2_weeks_humidity,lag_2_weeks_precip,lag_2_weeks_windspeed,lag_2_weeks_cloudcover,lag_2_weeks_dev_temp,lag_2_weeks_dev_humidity,lag_2_weeks_dev_precip,lag_2_weeks_dev_windspeed,lag_2_weeks_dev_cloudcover,lag_2_weeks_frost,lag_1_months_temp,lag_3_months_temp,lag_6_months_temp,lag_9_months_temp,lag_12_months_temp,lag_1_months_humidity,lag_3_months_humidity,lag_6_months_humidity,lag_9_months_humidity,lag_12_months_humidity,lag_1_months_precip,lag_3_months_precip,lag_6_months_precip,lag_9_months_precip,lag_12_months_precip,lag_1_months_windspeed,lag_3_months_windspeed,lag_6_months_windspeed,lag_9_months_windspeed,lag_12_months_windspeed,lag_1_months_cloudcover,lag_3_months_cloudcover,lag_6_months_cloudcover,lag_9_months_cloudcover,lag_12_months_cloudcover,lag_1_months_dev_temp,lag_3_months_dev_temp,lag_6_months_dev_temp,lag_9_months_dev_temp,lag_12_months_dev_temp,lag_1_months_dev_humidity,lag_3_months_dev_humidity,lag_6_months_dev_humidity,lag_9_months_dev_humidity,lag_12_months_dev_humidity,lag_1_months_dev_precip,lag_3_months_dev_precip,lag_6_months_dev_precip,lag_9_months_dev_precip,lag_12_months_dev_precip,lag_1_months_dev_windspeed,lag_3_months_dev_windspeed,lag_6_months_dev_windspeed,lag_9_months_dev_windspeed,lag_12_months_dev_windspeed,lag_1_months_dev_cloudcover,lag_3_months_dev_cloudcover,lag_6_months_dev_cloudcover,lag_9_months_dev_cloudcover,lag_12_months_dev_cloudcover,lag_1_months_frost,lag_3_months_frost,lag_6_months_frost,lag_9_months_frost,lag_12_months_frost
alexandria,Egypt,2022,01,31.2105,29.9125,1,1,13.9142857142857,71.1285714285714,1.87142857142857,25.9285714285714,39.6571428571429,14.1350649350649,71.6699350649351,2.00324675324675,25.0149350649351,37.1590909090909,-0.220779220779221,-0.541363636363627,-0.131818181818182,0.91363636363636,2.49805194805195,0,13.8142857142857,77.2628571428572,13.2857142857143,20.5857142857143,51.4571428571429,-1.47959183673469,5.96401360544218,11.4659863945578,-2.67823129251701,10.7680272108844,0,17.3857142857143,25.1,28.6857142857143,22.3428571428571,17.0857142857143,71.9171428571429,66.8714285714286,63.2085714285714,54.8128571428572,74.6471428571429,0.142857142857143,0,0,0,0.342857142857143,23.2857142857143,19.7714285714286,23.0285714285714,21.3857142857143,20.1142857142857,31.4857142857143,9.07142857142857,19.1142857142857,7.42857142857143,28.8142857142857,0.245988258317027,0.791156462585036,1.2,2.42857142857143,3.00748299319728,2.21940313111547,1.38789115646259,-4.90904761904762,-8.85176870748299,6.96646258503401,-4.23317025440313,-0.999319727891156,0,-0.0170068027210884,-2.57074829931973,0.524070450097845,-2.73537414965986,-2.43265306122449,-2.53333333333333,-6.23469387755102,-8.17113502935421,-19.134693877551,-3.08163265306122,-15.0095238095238,-6.14149659863946,0,0,0,0,0
alexandria,Egypt,2022,02,31.2105,29.9125,1,1,13.7857142857143,73.8857142857143,1.41428571428571,21.3857142857143,37.5714285714286,13.5896103896104,73.3478571428571,2.95454545454545,23.5876623376623,39.1662337662338,0.196103896103896,0.537857142857149,-1.54025974025974,-2.20194805194805,-1.5948051948052,0,13.8,76.2042857142857,3.61428571428571,19.4714285714286,46.6857142857143,-0.819727891156461,4.79278911564626,1.88027210884354,-2.91700680272109,9.89795918367346,0,15.6,23.3142857142857,28.3571428571429,26.1428571428571,16.1142857142857,70.7657142857143,59.8742857142857,70.2085714285714,49.5157142857143,72.1642857142857,3.71428571428571,0,0,0,0,25.0714285714286,22.2428571428571,21.9,19.4571428571429,21.7714285714286,50.9142857142857,46.1,10.8428571428571,7.84285714285714,29.0142857142857,-0.556462585034014,-0.376870748299321,0.614285714285714,5.17891156462585,1.48231292517007,2.17176870748298,-5.57857142857143,1.90918367346939,-15.7930612244898,3.08108843537414,1.78775510204082,-0.148979591836735,0,-0.0333333333333333,-1.06122448979592,1.81292517006803,0.721768707482994,-1.69523809523809,-6.32721088435374,-1.52448979591837,15.6136054421769,15.3993197278912,-9.2156462585034,-12.8829931972789,-4.23945578231293,0,0,0,0,0
alexandria,Egypt,2022,03,31.2105,29.9125,1,1,14.2285714285714,71.0857142857143,2.74285714285714,23.6714285714286,35.5285714285714,13.9220779220779,71.6377272727273,1.97922077922078,23.9915584415584,38.3694805194805,0.306493506493506,-0.552012987012986,0.763636363636364,-0.320129870129872,-2.84090909090909,0,13.9142857142857,71.1285714285714,1.87142857142857,25.9285714285714,39.6571428571429,-0.220779220779221,-0.541363636363627,-0.131818181818182,0.91363636363636,2.49805194805195,0,13.8142857142857,23.6428571428571,29.6571428571429,22.2142857142857,12.8857142857143,77.2628571428572,71.5671428571429,66.8842857142857,67.9614285714286,69.47,13.2857142857143,1.14285714285714,0,0,5.14285714285714,20.5857142857143,18.9142857142857,31.9571428571429,21.4285714285714,31.2857142857143,51.4571428571429,30.0285714285714,4.07142857142857,14.3571428571429,49.7571428571429,-1.47959183673469,0.740136054421768,1.68707482993197,0.503401360544221,-1.68775510204082,5.96401360544218,5.81183673469387,-2.2061224489796,2.78591836734694,0.191768707482993,11.4659863945578,0.436054421768707,0,-0.0768707482993197,2.1843537414966,-2.67823129251701,-3.35510204081633,8.69251700680272,-3.98707482993197,4.25714285714286,10.7680272108844,0.320408163265306,-16.2884353741497,-6.10136054421769,14.8027210884354,0,0,0,0,0
alexandria,Egypt,2022,04,31.2105,29.9125,1,1,13.8714285714286,68.5428571428572,1,26.5428571428572,33.1714285714286,14.15,69.1291558441559,4.52922077922078,24.0051948051948,32.6831168831169,-0.278571428571428,-0.586298701298702,-3.52922077922078,2.53766233766234,0.48831168831169,0,13.7857142857143,73.8857142857143,1.41428571428571,21.3857142857143,37.5714285714286,0.196103896103896,0.537857142857149,-1.54025974025974,-2.20194805194805,-1.5948051948052,0,13.8,23.5142857142857,29.0142857142857,22.6285714285714,15.5428571428571,76.2042857142857,68.0714285714286,70.81,67.6771428571429,71.8485714285714,3.61428571428571,0,0,0,1.57142857142857,19.4714285714286,19.8285714285714,22.0285714285714,25.1285714285714,22.4571428571429,46.6857142857143,19.6142857142857,16.7,20.5,37.9714285714286,-0.819727891156461,1.72789115646259,0.898639455782313,0.234013605442179,0.697278911564625,4.79278911564626,2.01748299319728,1.70340136054422,3.62863945578231,3.07680272108844,1.88027210884354,-0.50952380952381,0,-0.00748299319727891,1.05034013605442,-2.91700680272109,-2.36054421768707,-1.8578231292517,-0.0170068027210881,-2.46530612244898,9.89795918367346,-10.9122448979592,-7.37414965986395,2.41972789115646,6.59183673469387,0,0,0,0,0
alexandria,Egypt,2022,05,31.2105,29.9125,1,1,14.1,62.2571428571429,1.83285714285714,28.2285714285714,39.1714285714286,14.2149350649351,67.9973376623377,2.79675324675325,26.0655844155844,34.6766233766234,-0.114935064935066,-5.7401948051948,-0.963896103896104,2.16298701298701,4.4948051948052,0,14.2285714285714,71.0857142857143,2.74285714285714,23.6714285714286,35.5285714285714,0.306493506493506,-0.552012987012986,0.763636363636364,-0.320129870129872,-2.84090909090909,0,13.9142857142857,22.7428571428571,28.3,24.4428571428571,15.2142857142857,71.1285714285714,67.86,67.3,65.6828571428572,66.3442857142857,1.87142857142857,0,0,0,1.42857142857143,25.9285714285714,20.6142857142857,23.0714285714286,28.2142857142857,22.2285714285714,39.6571428571429,34.1285714285714,13.1571428571429,9,30.6857142857143,-0.220779220779221,1.95918367346939,0.257142857142856,0.90408163265306,-0.502040816326531,-0.541363636363627,-0.644013605442183,-0.468707482993196,1.09625850340136,-1.39353741496598,-0.131818181818182,-1.68027210884354,0,-0.0054421768707483,0.570068027210884,0.91363636363636,-0.653741496598641,-0.831972789115646,4.38503401360545,-3.69251700680272,2.49805194805195,2.0047619047619,-12.0707482993197,-8.24557823129252,2.69115646258503,0,0,0,0,0
alexandria,Egypt,2022,06,31.2105,29.9125,1,1,14.0714285714286,58.4285714285714,0.428571428571429,33.2285714285714,33.5,14.6993506493506,69.2232467532468,1.01298701298701,23.2266233766234,33.061038961039,-0.627922077922078,-10.7946753246753,-0.584415584415584,10.0019480519481,0.43896103896104,0,13.8714285714286,68.5428571428572,1,26.5428571428572,33.1714285714286,-0.278571428571428,-0.586298701298702,-3.52922077922078,2.53766233766234,0.48831168831169,0,13.7857142857143,20.2571428571429,28.4285714285714,23.4428571428571,17.0857142857143,73.8857142857143,74.3528571428572,68.6185714285714,63.6157142857143,66.0014285714286,1.41428571428571,11.5714285714286,0,0,0,21.3857142857143,23.1428571428571,22.1714285714286,26.4571428571429,28.9,37.5714285714286,50.2857142857143,16.2714285714286,20.7428571428571,29.9571428571429,0.196103896103896,0.138775510204081,0.571428571428569,-0.645578231292518,0.419047619047618,0.537857142857149,6.56789115646259,-0.545918367346943,-1.5343537414966,-1.39829931972788,-1.54025974025974,10.4537414965986,0,0,-0.242176870748299,-2.20194805194805,1.81768707482993,-0.351020408163265,1.97619047619047,4.48571428571429,-1.5948051948052,15.9571428571429,-6.46462585034013,3.98707482993197,3.91904761904762,0,0,0,0,0
alexandria,Egypt,2022,07,31.2105,29.9125,1,1,14.6,60.55,0.435,24.5,72.85,14.4967532467532,69.2869480519481,3.05779220779221,27.2220779220779,35.6272727272727,0.103246753246754,-8.73694805194805,-2.62279220779221,-2.72207792207792,37.2227272727273,0,14.1,62.2571428571429,1.83285714285714,28.2285714285714,39.1714285714286,-0.114935064935066,-5.7401948051948,-0.963896103896104,2.16298701298701,4.4948051948052,0,14.2285714285714,19.1428571428571,28.1285714285714,24.7285714285714,17.1142857142857,71.0857142857143,73.5371428571429,64.2614285714286,65.9485714285714,67.6771428571429,2.74285714285714,3.57142857142857,0,0,0,23.6714285714286,19.7142857142857,24.6571428571429,22.7,21.7428571428571,35.5285714285714,16.1285714285714,24.8571428571429,9.05714285714286,17.1714285714286,0.306493506493506,0.131972789115647,0.472789115646261,0.183673469387752,0.836734693877549,-0.552012987012986,5.44428571428571,-3.21517006802722,0.723197278911556,2.08734693877551,0.763636363636364,2.26122448979592,0,0,-0.431292517006803,-0.320129870129872,-1.42721088435374,0.976190476190478,-1.3421768707483,-4.01836734693877,-2.84090909090909,-17.5197278911565,-1.5734693877551,-6.15850340136054,-12.365306122449,0,0,0,0,0
antalya,Turkey,2022,01,36.879,30.7092,1,1,10.4428571428571,63.5,7.32857142857143,21.7,46.7285714285714,11.175974025974,67.0917532467533,9.15636363636364,19.9233766233766,54.1279220779221,-0.733116883116884,-3.59175324675324,-1.82779220779221,1.77662337662338,-7.39935064935065,0,10.2285714285714,36.8057142857143,0,11.7857142857143,24.6428571428571,-1.24013605442177,-26.7228571428571,-7.4778231292517,-7.94557823129252,-17.9448979591837,0,15.8571428571429,22.9571428571429,28.9142857142857,21.7571428571429,15.3571428571429,69.9171428571429,50.9828571428572,53.0271428571429,54.7042857142857,66.75,9.35428571428571,0.0857142857142857,0,0,3.50285714285714,20.4285714285714,13.8,10.5285714285714,7.81428571428571,15.5,59.4428571428572,33.4142857142857,17.3428571428571,20.8285714285714,39.0571428571429,2.44081632653061,0.237414965986396,-0.307482993197279,3.52448979591837,4.53333333333333,6.17061224489795,-5.32462585034013,-4.96353741496599,-7.28244897959183,3.64251700680272,1.42972789115646,-1.57285714285714,-0.0142857142857143,-2.05387755102041,-3.01680272108844,3.9625850340136,-2.0312925170068,-8.26054421768708,-10.8585034013605,-6.7734693877551,16.3061224489796,2.71700680272108,3.7795918367347,-14.256462585034,-7.27551020408163,0,0,0,0,0
antalya,Turkey,2022,02,36.879,30.7092,1,1,10.5857142857143,66.7714285714286,12.0857142857143,18.1,48.0857142857143,10.3266233766234,62.248051948052,6.2598051948052,19.2785714285714,43.738961038961,0.259090909090908,4.52337662337663,5.82590909090909,-1.17857142857143,4.34675324675325,0,12,83.1414285714286,35.7185714285714,15.8142857142857,73.2857142857143,0.658503401360544,18.9718367346939,28.6891836734694,-1.61972789115646,25.7585034013606,0,12.3,21.4,34.3571428571429,23.0571428571429,14.7428571428571,71.5414285714286,38.1285714285714,17.14,63.77,76.1571428571429,6.22571428571429,0,0,0,0.485714285714286,8.27142857142857,11.9571428571429,8.94285714285714,9.98571428571429,20.4142857142857,63.1714285714286,4.92857142857143,2.24285714285714,27.9857142857143,58.2428571428572,0.0176870748299329,-0.0632653061224495,4.58639455782313,3.50340136054422,2.73945578231293,7.0556462585034,-17.6789795918367,-37.9997959183673,-2.2021768707483,12.0034693877551,-4.76836734693878,-3.61163265306122,-0.072108843537415,-1.19625850340136,-2.56959183673469,-9.82448979591837,-4.30952380952381,-9.05102040816326,-8.13401360544218,-0.375510204081632,18.0972789115646,-21.1857142857143,-8.3047619047619,-12.3843537414966,12.8925170068027,0,0,0,0,0
antalya,Turkey,2022,03,36.879,30.7092,1,1,10.5428571428571,66.0714285714286,11.9857142857143,20.4571428571429,46.4857142857143,10.5376623376623,62.4468831168831,5.54006493506494,19.4019480519481,46.8012987012987,0.00519480519480453,3.62454545454546,6.44564935064935,1.0551948051948,-0.315584415584411,0,10.4428571428571,63.5,7.32857142857143,21.7,46.7285714285714,-0.733116883116884,-3.59175324675324,-1.82779220779221,1.77662337662338,-7.39935064935065,0,10.2285714285714,20.3857142857143,32.7142857142857,21.1857142857143,9.28571428571428,36.8057142857143,40.0728571428571,36.9214285714286,60.7185714285714,41.94,0,0.594285714285714,6.49142857142857,0,1.06714285714286,11.7857142857143,7.81428571428571,10.6571428571429,9.68571428571429,19.4,24.6428571428571,40.9857142857143,15.8,7.07142857142857,50.2714285714286,-1.24013605442177,-0.0612244897959187,3.42993197278912,0.608163265306125,-2.60884353741497,-26.7228571428571,-16.8195918367347,-25.3525850340136,-2.93993197278911,-20.508843537415,-7.4778231292517,-2.62095238095238,6.38598639455782,-2.37557823129252,-2.24802721088435,-7.94557823129252,-8.95714285714286,-6.93877551020408,-8.54353741496599,-2.20476190476191,-17.9448979591837,10.3197278911565,-0.551700680272111,-32.2027210884354,-0.977551020408164,0,0,0,0,0
